date,clones,uniques
2026-08-02,239,41
2026-08-03,118,18
2026-08-04,1,1
2026-08-05,0,0
2026-08-06,1,1
2026-08-07,1,1
2026-08-08,4,3
2026-08-09,5,4
2026-08-10,1,1
2026-08-11,3,3
2026-08-12,9,1
2026-08-13,1,1
2026-08-14,0,0
2026-08-15,3,2
2026-08-16,230,48
2026-08-17,2,2
2026-08-18,0,0
2026-08-19,4,4
2026-08-20,22,2
2026-08-21,2,2
2026-08-22,3,2
2026-08-23,5,4
2026-08-24,57,15
2026-08-25,6,5
2026-08-26,3,2
2026-08-27,9,4
2026-08-28,1,1
2026-08-29,2,2
