date,views,uniques
2026-08-02,35,5
2026-08-03,68,3
2026-08-04,0,0
2026-08-05,1,1
2026-08-06,0,0
2026-08-07,8,3
2026-08-08,0,0
2026-08-09,1,1
2026-08-10,1,1
2026-08-11,1,1
2026-08-12,1,1
2026-08-13,0,0
2026-08-14,2,2
2026-08-15,2,2
2026-08-16,85,3
2026-08-17,4,3
2026-08-18,5,3
2026-08-19,5,2
2026-08-20,2,2
2026-08-21,1,1
2026-08-22,5,2
2026-08-23,7,1
2026-08-24,8,4
2026-08-25,1,1
2026-08-26,7,3
2026-08-27,12,2
2026-08-28,10,3
2026-08-29,2,1
2026-08-30,2,2
