date,clones,uniques
2026-08-02,0,0
2026-08-03,1,1
2026-08-04,0,0
2026-08-05,1,1
2026-08-06,1,1
2026-08-07,0,0
2026-08-08,1,1
2026-08-09,0,0
2026-08-10,0,0
2026-08-11,2,2
2026-08-12,0,0
2026-08-13,0,0
2026-08-14,0,0
2026-08-15,0,0
2026-08-16,0,0
2026-08-17,2,1
2026-08-18,0,0
2026-08-19,2,2
2026-08-20,0,0
2026-08-21,0,0
2026-08-22,0,0
2026-08-23,3,1
2026-08-24,0,0
2026-08-25,0,0
