date,clones,uniques
2026-08-01,0,0
2026-08-02,0,0
2026-08-03,10,9
2026-08-04,1,1
2026-08-05,0,0
2026-08-06,4,3
2026-08-07,0,0
2026-08-08,1,1
2026-08-09,0,0
2026-08-10,1,1
2026-08-11,1,1
2026-08-12,2,2
2026-08-13,0,0
2026-08-14,0,0
2026-08-15,0,0
